persona_a,persona_b,pair_id,switch_condition,failed_rows,successful_rows,total_rows,overall_classification
ENFJ,ENFP,ENFJ_to_ENFP,A_history_to_B,1,0,1,failed
ENFJ,ENFP,ENFJ_to_ENFP,A_summary_to_B,0,1,1,successful
ENFJ,ENTJ,ENFJ_to_ENTJ,A_history_to_B,1,0,1,failed
ENFJ,ENTJ,ENFJ_to_ENTJ,A_summary_to_B,0,1,1,successful
ENFJ,ENTP,ENFJ_to_ENTP,A_history_to_B,1,0,1,failed
ENFJ,ENTP,ENFJ_to_ENTP,A_summary_to_B,0,1,1,successful
ENFJ,ESFJ,ENFJ_to_ESFJ,A_history_to_B,1,0,1,failed
ENFJ,ESFJ,ENFJ_to_ESFJ,A_summary_to_B,0,1,1,successful
ENFJ,ESFP,ENFJ_to_ESFP,A_history_to_B,1,0,1,failed
ENFJ,ESFP,ENFJ_to_ESFP,A_summary_to_B,1,0,1,failed
ENFJ,ESTJ,ENFJ_to_ESTJ,A_history_to_B,1,0,1,failed
ENFJ,ESTJ,ENFJ_to_ESTJ,A_summary_to_B,0,1,1,successful
ENFJ,ESTP,ENFJ_to_ESTP,A_history_to_B,1,0,1,failed
ENFJ,ESTP,ENFJ_to_ESTP,A_summary_to_B,1,0,1,failed
ENFJ,INFJ,ENFJ_to_INFJ,A_history_to_B,1,0,1,failed
ENFJ,INFJ,ENFJ_to_INFJ,A_summary_to_B,0,1,1,successful
ENFJ,INFP,ENFJ_to_INFP,A_history_to_B,1,0,1,failed
ENFJ,INFP,ENFJ_to_INFP,A_summary_to_B,0,1,1,successful
ENFJ,INTJ,ENFJ_to_INTJ,A_history_to_B,1,0,1,failed
ENFJ,INTJ,ENFJ_to_INTJ,A_summary_to_B,0,1,1,successful
ENFJ,INTP,ENFJ_to_INTP,A_history_to_B,1,0,1,failed
ENFJ,INTP,ENFJ_to_INTP,A_summary_to_B,1,0,1,failed
ENFJ,ISFJ,ENFJ_to_ISFJ,A_history_to_B,1,0,1,failed
ENFJ,ISFJ,ENFJ_to_ISFJ,A_summary_to_B,0,1,1,successful
ENFJ,ISFP,ENFJ_to_ISFP,A_history_to_B,1,0,1,failed
ENFJ,ISFP,ENFJ_to_ISFP,A_summary_to_B,1,0,1,failed
ENFJ,ISTJ,ENFJ_to_ISTJ,A_history_to_B,1,0,1,failed
ENFJ,ISTJ,ENFJ_to_ISTJ,A_summary_to_B,0,1,1,successful
ENFJ,ISTP,ENFJ_to_ISTP,A_history_to_B,1,0,1,failed
ENFJ,ISTP,ENFJ_to_ISTP,A_summary_to_B,0,1,1,successful
ENFP,ENFJ,ENFP_to_ENFJ,A_history_to_B,1,0,1,failed
ENFP,ENFJ,ENFP_to_ENFJ,A_summary_to_B,0,1,1,successful
ENFP,ENTJ,ENFP_to_ENTJ,A_history_to_B,0,1,1,successful
ENFP,ENTJ,ENFP_to_ENTJ,A_summary_to_B,0,1,1,successful
ENFP,ENTP,ENFP_to_ENTP,A_history_to_B,0,1,1,successful
ENFP,ENTP,ENFP_to_ENTP,A_summary_to_B,0,1,1,successful
ENFP,ESFJ,ENFP_to_ESFJ,A_history_to_B,1,0,1,failed
ENFP,ESFJ,ENFP_to_ESFJ,A_summary_to_B,0,1,1,successful
ENFP,ESFP,ENFP_to_ESFP,A_history_to_B,1,0,1,failed
ENFP,ESFP,ENFP_to_ESFP,A_summary_to_B,1,0,1,failed
ENFP,ESTJ,ENFP_to_ESTJ,A_history_to_B,1,0,1,failed
ENFP,ESTJ,ENFP_to_ESTJ,A_summary_to_B,0,1,1,successful
ENFP,ESTP,ENFP_to_ESTP,A_history_to_B,1,0,1,failed
ENFP,ESTP,ENFP_to_ESTP,A_summary_to_B,1,0,1,failed
ENFP,INFJ,ENFP_to_INFJ,A_history_to_B,0,1,1,successful
ENFP,INFJ,ENFP_to_INFJ,A_summary_to_B,0,1,1,successful
ENFP,INFP,ENFP_to_INFP,A_history_to_B,1,0,1,failed
ENFP,INFP,ENFP_to_INFP,A_summary_to_B,0,1,1,successful
ENFP,INTJ,ENFP_to_INTJ,A_history_to_B,1,0,1,failed
ENFP,INTJ,ENFP_to_INTJ,A_summary_to_B,0,1,1,successful
ENFP,INTP,ENFP_to_INTP,A_history_to_B,1,0,1,failed
ENFP,INTP,ENFP_to_INTP,A_summary_to_B,1,0,1,failed
ENFP,ISFJ,ENFP_to_ISFJ,A_history_to_B,1,0,1,failed
ENFP,ISFJ,ENFP_to_ISFJ,A_summary_to_B,0,1,1,successful
ENFP,ISFP,ENFP_to_ISFP,A_history_to_B,1,0,1,failed
ENFP,ISFP,ENFP_to_ISFP,A_summary_to_B,1,0,1,failed
ENFP,ISTJ,ENFP_to_ISTJ,A_history_to_B,1,0,1,failed
ENFP,ISTJ,ENFP_to_ISTJ,A_summary_to_B,0,1,1,successful
ENFP,ISTP,ENFP_to_ISTP,A_history_to_B,1,0,1,failed
ENFP,ISTP,ENFP_to_ISTP,A_summary_to_B,0,1,1,successful
ENTJ,ENFJ,ENTJ_to_ENFJ,A_history_to_B,1,0,1,failed
ENTJ,ENFJ,ENTJ_to_ENFJ,A_summary_to_B,0,1,1,successful
ENTJ,ENFP,ENTJ_to_ENFP,A_history_to_B,1,0,1,failed
ENTJ,ENFP,ENTJ_to_ENFP,A_summary_to_B,0,1,1,successful
ENTJ,ENTP,ENTJ_to_ENTP,A_history_to_B,1,0,1,failed
ENTJ,ENTP,ENTJ_to_ENTP,A_summary_to_B,0,1,1,successful
ENTJ,ESFJ,ENTJ_to_ESFJ,A_history_to_B,1,0,1,failed
ENTJ,ESFJ,ENTJ_to_ESFJ,A_summary_to_B,0,1,1,successful
ENTJ,ESFP,ENTJ_to_ESFP,A_history_to_B,1,0,1,failed
ENTJ,ESFP,ENTJ_to_ESFP,A_summary_to_B,1,0,1,failed
ENTJ,ESTJ,ENTJ_to_ESTJ,A_history_to_B,0,1,1,successful
ENTJ,ESTJ,ENTJ_to_ESTJ,A_summary_to_B,0,1,1,successful
ENTJ,ESTP,ENTJ_to_ESTP,A_history_to_B,1,0,1,failed
ENTJ,ESTP,ENTJ_to_ESTP,A_summary_to_B,0,1,1,successful
ENTJ,INFJ,ENTJ_to_INFJ,A_history_to_B,1,0,1,failed
ENTJ,INFJ,ENTJ_to_INFJ,A_summary_to_B,0,1,1,successful
ENTJ,INFP,ENTJ_to_INFP,A_history_to_B,1,0,1,failed
ENTJ,INFP,ENTJ_to_INFP,A_summary_to_B,0,1,1,successful
ENTJ,INTJ,ENTJ_to_INTJ,A_history_to_B,1,0,1,failed
ENTJ,INTJ,ENTJ_to_INTJ,A_summary_to_B,0,1,1,successful
ENTJ,INTP,ENTJ_to_INTP,A_history_to_B,1,0,1,failed
ENTJ,INTP,ENTJ_to_INTP,A_summary_to_B,1,0,1,failed
ENTJ,ISFJ,ENTJ_to_ISFJ,A_history_to_B,1,0,1,failed
ENTJ,ISFJ,ENTJ_to_ISFJ,A_summary_to_B,0,1,1,successful
ENTJ,ISFP,ENTJ_to_ISFP,A_history_to_B,1,0,1,failed
ENTJ,ISFP,ENTJ_to_ISFP,A_summary_to_B,1,0,1,failed
ENTJ,ISTJ,ENTJ_to_ISTJ,A_history_to_B,1,0,1,failed
ENTJ,ISTJ,ENTJ_to_ISTJ,A_summary_to_B,0,1,1,successful
