persona_a,persona_b,pair_id,task_type,retain_mechanism,default_switch_condition,default_matched_control_condition,strong_switch_condition,strong_matched_control_condition,primary_gap_metric_name,default_primary_gap_abs,strong_primary_gap_abs,primary_gap_change,default_scs,strong_scs,scs_change,default_rai,strong_rai,rai_change,improved_distance_to_matched_b_control,improved_primary_gap,reduced_a_influence,rq2_improved
ISFJ,ENTP,ISFJ_to_ENTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,1.0,1.0,0.0,0.2366,0.2581,0.0215,0.6882,0.6237,-0.0645,True,False,True,True
ISFJ,ENTP,ISFJ_to_ENTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.7849,0.9677,0.1828,-0.4194,-0.7097,-0.2903,True,True,True,True
ISFJ,ENTP,ISFJ_to_ENTP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0195,0.0161,-0.0034,0.2333,0.0667,-0.1666,-0.0663,0.0157,0.082,False,True,False,False
ISFJ,ENTP,ISFJ_to_ENTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.003,0.0184,0.0154,0.2667,0.4667,0.2,-0.0847,-0.099,-0.0143,True,False,True,True
ISFJ,ENTP,ISFJ_to_ENTP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0334,0.0334,0.4963,0.4456,-0.0507,-0.0392,-0.0201,0.0191,False,False,False,False
ISFJ,ENTP,ISFJ_to_ENTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0333,0.0,-0.0333,0.4577,0.4267,-0.031,-0.0192,-0.077,-0.0578,True,False,True,True
ISFJ,ISTP,ISFJ_to_ISTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.5,0.5,0.0,0.6237,0.5806,-0.0431,0.2903,0.3548,0.0645,False,False,False,False
ISFJ,ISTP,ISFJ_to_ISTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.25,0.0,0.8925,0.8925,0.0,-0.3333,-0.3011,0.0322,False,False,False,False
ISFJ,ISTP,ISFJ_to_ISTP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0126,0.0635,0.0509,0.1333,0.2333,0.1,0.0534,0.0457,-0.0077,True,False,True,True
ISFJ,ISTP,ISFJ_to_ISTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0365,0.0192,-0.0173,0.2333,0.2667,0.0334,-0.0567,-0.0384,0.0183,True,True,False,True
ISFJ,ISTP,ISFJ_to_ISTP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.582,0.4975,-0.0845,-0.0856,-0.059,0.0266,False,False,False,False
ISFJ,ISTP,ISFJ_to_ISTP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0667,0.0333,-0.0334,0.5029,0.4627,-0.0402,-0.0531,-0.0971,-0.044,True,False,True,True
ISFJ,ENFP,ISFJ_to_ENFP,mbti_mcq,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,osr_gap_abs_vs_matched_b_control,0.75,0.5,-0.25,0.3656,0.5591,0.1935,0.5591,0.1935,-0.3656,True,True,True,True
ISFJ,ENFP,ISFJ_to_ENFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,osr_gap_abs_vs_matched_b_control,0.25,0.0,-0.25,0.828,0.8602,0.0322,-0.3548,-0.4516,-0.0968,True,True,True,True
ISFJ,ENFP,ISFJ_to_ENFP,machine_mindset,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0228,0.0178,-0.005,0.2667,0.3333,0.0666,0.0176,-0.0243,-0.0419,True,True,True,True
ISFJ,ENFP,ISFJ_to_ENFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0081,0.019,0.0109,0.3,0.5,0.2,-0.0767,-0.1142,-0.0375,True,False,True,True
ISFJ,ENFP,ISFJ_to_ENFP,ifeval,history,A_history_to_B,B_history_to_B,A_history_to_B_strong,B_history_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0667,0.0,-0.0667,0.5064,0.4798,-0.0266,-0.0372,-0.0534,-0.0162,True,False,True,True
ISFJ,ENFP,ISFJ_to_ENFP,ifeval,summary,A_summary_to_B,B_summary_to_B,A_summary_to_B_strong,B_summary_to_B_strong,primary_gap_abs_vs_matched_b_control,0.0,0.0334,0.0334,0.4317,0.489,0.0573,-0.0518,-0.1194,-0.0676,False,False,True,True
