rq,persona_a,persona_b,pair_id,retain_mechanism,default_control_run_id,default_control_final_type,strong_control_run_id,strong_control_final_type,target_persona_b,stable_control
RQ2,ISFJ,ENTP,ISFJ_to_ENTP,history,persona_20260410T154640Z_92b2f66b,ENTP,persona_20260412T153405Z_f5635c9b,ENTP,ENTP,True
RQ2,ISFJ,ENTP,ISFJ_to_ENTP,summary,persona_20260410T154701Z_2752899c,ENTP,persona_20260412T153725Z_8c79ba50,ENTP,ENTP,True
RQ2,ISFJ,ISTP,ISFJ_to_ISTP,history,persona_20260410T160417Z_9c79c812,ISTP,persona_20260412T154556Z_80ee6c4e,ISTP,ISTP,True
RQ2,ISFJ,ISTP,ISFJ_to_ISTP,summary,persona_20260410T160439Z_7740f289,ISTP,persona_20260412T154829Z_f868ec9d,ISTP,ISTP,True
RQ2,ISFJ,ENFP,ISFJ_to_ENFP,history,persona_20260410T162401Z_97878620,ENFP,persona_20260412T155811Z_2c4a6cc2,ENFP,ENFP,True
RQ2,ISFJ,ENFP,ISFJ_to_ENFP,summary,persona_20260410T162424Z_ec554b25,ENFP,persona_20260412T160141Z_4980bc26,ENFP,ENFP,True
RQ2,ISFJ,INFP,ISFJ_to_INFP,history,persona_20260410T164931Z_8df4f0a5,INFP,persona_20260412T161055Z_1ffab9d6,INFP,INFP,True
RQ2,ISFJ,INFP,ISFJ_to_INFP,summary,persona_20260410T164954Z_5ebb847e,INFP,persona_20260412T161325Z_6982a0c5,INFP,INFP,True
RQ2,ENTP,ENFJ,ENTP_to_ENFJ,history,persona_20260411T102641Z_9018d1b8,ENFJ,persona_20260412T162234Z_fb995a37,ENFJ,ENFJ,True
RQ2,ENTP,ENFJ,ENTP_to_ENFJ,summary,persona_20260411T102706Z_70827d75,ENFJ,persona_20260412T162521Z_49840e8e,ENFJ,ENFJ,True
RQ2,ENTP,ISFJ,ENTP_to_ISFJ,history,persona_20260411T121511Z_b8924e3d,ISFJ,persona_20260412T163207Z_8c72c3c6,ISFJ,ISFJ,True
RQ2,ENTP,ISFJ,ENTP_to_ISFJ,summary,persona_20260411T121538Z_9d2b8184,ISFJ,persona_20260412T163432Z_a9e23658,ISFJ,ISFJ,True
RQ2,ENTP,ENTJ,ENTP_to_ENTJ,history,persona_20260411T141408Z_d1696588,ESTJ,persona_20260412T164127Z_af302a37,ESTJ,ENTJ,False
RQ2,ENTP,ENTJ,ENTP_to_ENTJ,summary,persona_20260411T141435Z_eb6e458b,ESTJ,persona_20260412T164406Z_cdd21e4e,ESTJ,ENTJ,False
RQ2,ENTP,ISTP,ENTP_to_ISTP,history,persona_20260410T185834Z_42697102,ISTP,persona_20260412T165204Z_46cfc570,ISTP,ISTP,True
RQ2,ENTP,ISTP,ENTP_to_ISTP,summary,persona_20260410T185856Z_b068a6d7,ISTP,persona_20260412T165204Z_292960ed,ISTP,ISTP,True
RQ2,ENTP,ESFJ,ENTP_to_ESFJ,history,persona_20260410T194501Z_193abd62,ESFJ,persona_20260412T165701Z_eba3f809,ESFJ,ESFJ,True
RQ2,ENTP,ESFJ,ENTP_to_ESFJ,summary,persona_20260410T194523Z_16cf71d8,ESFJ,persona_20260412T165937Z_35517e98,ESFJ,ESFJ,True
RQ2,ISTJ,INTJ,ISTJ_to_INTJ,history,persona_20260411T051500Z_9d776580,INTJ,persona_20260412T170847Z_7d169910,INTJ,INTJ,True
RQ2,ISTJ,INTJ,ISTJ_to_INTJ,summary,persona_20260411T051533Z_278c8add,INTJ,persona_20260412T171110Z_32728204,INTJ,INTJ,True
RQ2,ISTJ,ENTJ,ISTJ_to_ENTJ,history,persona_20260411T151051Z_cc5b6a60,ESTJ,persona_20260412T171753Z_298e60d4,ESTJ,ENTJ,False
RQ2,ISTJ,ENTJ,ISTJ_to_ENTJ,summary,persona_20260411T151120Z_5e4b9f45,ESTJ,persona_20260412T171753Z_5be881cf,ESTJ,ENTJ,False
RQ2,ISTJ,ENTP,ISTJ_to_ENTP,history,persona_20260411T164729Z_77afdf7f,ENTP,persona_20260412T172323Z_97ecf583,ENTP,ENTP,True
RQ2,ISTJ,ENTP,ISTJ_to_ENTP,summary,persona_20260411T164753Z_7613fc66,ENTP,persona_20260412T172324Z_fd3b7474,ENTP,ENTP,True
RQ2,ISTJ,ISTP,ISTJ_to_ISTP,history,persona_20260411T192211Z_acf38855,ISTP,persona_20260412T172756Z_70004f97,ISTP,ISTP,True
RQ2,ISTJ,ISTP,ISTJ_to_ISTP,summary,persona_20260411T192236Z_c0477408,ISTP,persona_20260412T172756Z_42de99fc,ISTP,ISTP,True
RQ2,ISTJ,ENFP,ISTJ_to_ENFP,history,persona_20260411T205546Z_8e120c6a,ENFP,persona_20260412T173317Z_261ec549,ENFP,ENFP,True
RQ2,ISTJ,ENFP,ISTJ_to_ENFP,summary,persona_20260411T205610Z_c3d0bad2,ENFP,persona_20260412T173317Z_76b71b4c,ENFP,ENFP,True
