persona_a,persona_b,pair_id,task_type,retain_mechanism,simple_condition,simple_matched_control_condition,reinforced_condition,reinforced_matched_control_condition,reinforcement_repeats,primary_gap_metric_name,simple_primary_gap_abs,reinforced_primary_gap_abs,primary_gap_change,simple_scs,reinforced_scs,scs_change,simple_rai,reinforced_rai,rai_change,weakened_distance_to_matched_b_control,weakened_primary_gap,increased_a_influence,rq3_weakened
INTJ,ISTJ,INTJ_to_ISTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.9032,-0.0215,-0.086,-0.043,0.043,True,False,True,True
INTJ,ISTJ,INTJ_to_ISTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9677,0.9892,0.0215,-0.2151,-0.2258,-0.0107,False,False,False,False
INTJ,ISTJ,INTJ_to_ISTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0491,0.0493,0.0002,0.2333,0.1333,-0.1,0.0327,0.0109,-0.0218,True,True,False,True
INTJ,ISTJ,INTJ_to_ISTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0011,0.0122,0.0111,0.6,0.4667,-0.1333,-0.0454,-0.0353,0.0101,True,True,True,True
INTJ,ISTJ,INTJ_to_ISTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0667,0.0,0.517,0.5494,0.0324,-0.0858,-0.0742,0.0116,False,False,True,False
INTJ,ISTJ,INTJ_to_ISTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.4974,0.484,-0.0134,-0.0181,-0.0272,-0.0091,False,False,False,False
INFJ,INTJ,INFJ_to_INTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9032,0.8925,-0.0107,-0.2151,-0.2258,-0.0107,True,False,False,False
INFJ,INTJ,INFJ_to_INTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.957,0.0,-0.3333,-0.3441,-0.0108,False,False,False,False
INFJ,INTJ,INFJ_to_INTJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0047,0.0047,0.3667,0.3667,0.0,-0.0534,-0.0478,0.0056,False,True,True,True
INFJ,INTJ,INFJ_to_INTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0106,0.0143,0.0037,0.4333,0.3,-0.1333,-0.0656,-0.05,0.0156,True,True,True,True
INFJ,INTJ,INFJ_to_INTJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0667,0.0667,0.5087,0.5155,0.0068,-0.0084,-0.0566,-0.0482,True,False,False,False
INFJ,INTJ,INFJ_to_INTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0,-0.0334,0.5064,0.4906,-0.0158,-0.007,-0.0013,0.0057,False,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9247,0.5699,-0.3548,-0.2366,0.086,0.3226,True,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.3011,-0.6559,-0.2796,-0.1075,0.1721,True,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0011,0.0037,0.0026,0.4333,0.3,-0.1333,-0.0325,-0.0078,0.0247,True,True,True,True
INFJ,ENFJ,INFJ_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0118,0.6621,0.6503,0.5,0.0667,-0.4333,-0.0395,-0.0181,0.0214,True,True,True,True
INFJ,ENFJ,INFJ_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.0333,-0.0334,0.55,0.5355,-0.0145,-0.0856,-0.0648,0.0208,False,False,True,True
INFJ,ENFJ,INFJ_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0667,0.7,0.6333,0.501,0.0,-0.501,-0.0363,0.0,0.0363,True,False,True,True
INFJ,ISFJ,INFJ_to_ISFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.914,0.8495,-0.0645,-0.2258,-0.172,0.0538,True,False,True,True
INFJ,ISFJ,INFJ_to_ISFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.957,0.957,0.0,-0.2903,-0.3333,-0.043,False,False,False,False
INFJ,ISFJ,INFJ_to_ISFJ,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.011,0.0078,-0.0032,0.2667,0.3667,0.1,-0.0467,-0.0477,-0.001,False,False,False,False
INFJ,ISFJ,INFJ_to_ISFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0146,0.0254,0.0108,0.3667,0.3333,-0.0334,-0.0449,-0.0448,0.0001,True,True,True,True
INFJ,ISFJ,INFJ_to_ISFJ,ifeval,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.5744,0.4931,-0.0813,-0.1166,-0.0121,0.1045,False,False,True,True
INFJ,ISFJ,INFJ_to_ISFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,primary_gap_abs_vs_matched_b_control,0.0334,0.0333,-0.0001,0.5179,0.4945,-0.0234,-0.0595,-0.0191,0.0404,False,False,True,True
INFJ,ENTP,INFJ_to_ENTP,mbti_mcq,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.25,0.25,0.871,0.7742,-0.0968,-0.3011,-0.1613,0.1398,True,True,True,True
INFJ,ENTP,INFJ_to_ENTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,A3_summary_to_B,B3_summary_to_B,3,osr_gap_abs_vs_matched_b_control,0.0,0.0,0.0,0.9355,0.9462,0.0107,-0.5054,-0.5161,-0.0107,False,False,False,False
INFJ,ENTP,INFJ_to_ENTP,machine_mindset,history,A_history_to_B,B_history_to_B,A3_history_to_B,B3_history_to_B,3,primary_gap_abs_vs_matched_b_control,0.0024,0.0088,0.0064,0.3,0.3667,0.0667,-0.0618,-0.0407,0.0211,False,True,True,True
