rq,persona_a,persona_b,pair_id,retain_mechanism,simple_control_run_id,simple_control_final_type,reinforced_control_run_id,reinforced_control_final_type,target_persona_b,stable_control
RQ3,INTJ,ISTJ,INTJ_to_ISTJ,history,persona_20260410T080345Z_c31225c3,ISTJ,persona_20260412T191227Z_5bb557ab,ISTJ,ISTJ,True
RQ3,INTJ,ISTJ,INTJ_to_ISTJ,summary,persona_20260410T080738Z_d98836f8,ISTJ,persona_20260412T191524Z_5b674726,ISTJ,ISTJ,True
RQ3,INFJ,INTJ,INFJ_to_INTJ,history,persona_20260411T035954Z_a1b44276,INTJ,persona_20260412T192353Z_4679840b,INTJ,INTJ,True
RQ3,INFJ,INTJ,INFJ_to_INTJ,summary,persona_20260411T040032Z_52213324,INTJ,persona_20260412T192637Z_c8936328,INTJ,INTJ,True
RQ3,INFJ,ENFJ,INFJ_to_ENFJ,history,persona_20260410T112927Z_65a4c04e,ENFJ,persona_20260412T194726Z_0960248c,ENFJ,ENFJ,True
RQ3,INFJ,ENFJ,INFJ_to_ENFJ,summary,persona_20260410T112948Z_dffcd3c8,ENFJ,persona_20260412T195524Z_3c5b2f99,ENFJ,ENFJ,True
RQ3,INFJ,ISFJ,INFJ_to_ISFJ,history,persona_20260410T114024Z_7182784f,ISFJ,persona_20260412T200431Z_fe732eaf,ISFJ,ISFJ,True
RQ3,INFJ,ISFJ,INFJ_to_ISFJ,summary,persona_20260410T114045Z_88abd015,ISFJ,persona_20260412T200741Z_4dec5431,ISFJ,ISFJ,True
RQ3,INFJ,ENTJ,INFJ_to_ENTJ,history,persona_20260410T115148Z_ad99e60f,ESTJ,persona_20260412T201651Z_d06f6cf4,ESTJ,ENTJ,False
RQ3,INFJ,ENTJ,INFJ_to_ENTJ,summary,persona_20260410T115209Z_a216b323,ESTJ,persona_20260412T201951Z_c8efd8c3,ESTJ,ENTJ,False
RQ3,INFJ,ENTP,INFJ_to_ENTP,history,persona_20260410T120012Z_11cdb79e,ENTP,persona_20260412T202741Z_ffaca05b,ENTP,ENTP,True
RQ3,INFJ,ENTP,INFJ_to_ENTP,summary,persona_20260410T120033Z_2ac860ef,ENTP,persona_20260412T203113Z_2a1cdf96,ENTP,ENTP,True
RQ3,INFJ,ISTP,INFJ_to_ISTP,history,persona_20260410T121738Z_9ff80394,ISTP,persona_20260412T203945Z_8813df95,ISTJ,ISTP,False
RQ3,INFJ,ISTP,INFJ_to_ISTP,summary,persona_20260410T121759Z_69f4a6c8,ISTP,persona_20260412T204235Z_b6bf2824,ISTP,ISTP,True
RQ3,INFJ,ENFP,INFJ_to_ENFP,history,persona_20260410T124043Z_f4e96007,ENFP,persona_20260412T205120Z_b3f22450,ENFP,ENFP,True
RQ3,INFJ,ENFP,INFJ_to_ENFP,summary,persona_20260410T124104Z_94b2dd14,ENFP,persona_20260412T205425Z_208e82c0,ENFP,ENFP,True
RQ3,INFJ,ISTJ,INFJ_to_ISTJ,history,persona_20260410T125051Z_c0c17214,ISTJ,persona_20260412T210320Z_123003eb,ISTJ,ISTJ,True
RQ3,INFJ,ISTJ,INFJ_to_ISTJ,summary,persona_20260410T125112Z_917fdecf,ISTJ,persona_20260412T210320Z_0c14f878,ISTJ,ISTJ,True
RQ3,INFJ,ESFJ,INFJ_to_ESFJ,history,persona_20260410T132321Z_b651b39e,ESFJ,persona_20260412T210859Z_07c49b6d,ESFJ,ESFJ,True
RQ3,INFJ,ESFJ,INFJ_to_ESFJ,summary,persona_20260410T132342Z_bf53b897,ESFJ,persona_20260412T211252Z_409eaded,ESFJ,ESFJ,True
RQ3,INFJ,ESTJ,INFJ_to_ESTJ,history,persona_20260410T133233Z_c92cb76a,ESTJ,persona_20260412T212209Z_eb157689,ESTJ,ESTJ,True
RQ3,INFJ,ESTJ,INFJ_to_ESTJ,summary,persona_20260410T133254Z_2ddc511c,ESTJ,persona_20260412T212513Z_70ba5fdb,ESTJ,ESTJ,True
RQ3,ENTJ,ESTJ,ENTJ_to_ESTJ,history,persona_20260410T183727Z_d177b2de,ESTJ,persona_20260412T213337Z_f714ed2e,ESTJ,ESTJ,True
RQ3,ENTJ,ESTJ,ENTJ_to_ESTJ,summary,persona_20260410T183750Z_737f9fa0,ESTJ,persona_20260412T213337Z_64db612c,ESTJ,ESTJ,True
RQ3,ISTP,INTJ,ISTP_to_INTJ,history,persona_20260411T045021Z_d01302ae,INTJ,persona_20260412T213852Z_2907969a,INTJ,INTJ,True
RQ3,ISTP,INTJ,ISTP_to_INTJ,summary,persona_20260411T045054Z_97ac9e86,INTJ,persona_20260412T213852Z_8b0e6d13,INTJ,INTJ,True
RQ3,ISTP,INFJ,ISTP_to_INFJ,history,persona_20260411T085526Z_af87b722,INFJ,persona_20260412T214408Z_45ae841a,INFJ,INFJ,True
RQ3,ISTP,INFJ,ISTP_to_INFJ,summary,persona_20260411T085550Z_20809ce7,INFJ,persona_20260412T214706Z_3d6f88df,INFJ,INFJ,True
RQ3,ISTP,ENFJ,ISTP_to_ENFJ,history,persona_20260411T104543Z_e8bf65d2,ENFJ,persona_20260412T215501Z_c7f4c1f7,ENFJ,ENFJ,True
RQ3,ISTP,ENFJ,ISTP_to_ENFJ,summary,persona_20260411T104615Z_21d6ad46,ENFJ,persona_20260412T215631Z_db6ae5b2,ENFJ,ENFJ,True
RQ3,ISTP,ISFJ,ISTP_to_ISFJ,history,persona_20260411T123640Z_82875127,ISFJ,persona_20260412T220149Z_7da4d938,ISFJ,ISFJ,True
RQ3,ISTP,ISFJ,ISTP_to_ISFJ,summary,persona_20260411T123707Z_c48127a8,ISFJ,persona_20260412T220150Z_bd87476b,ISFJ,ISFJ,True
RQ3,ISTP,ENTP,ISTP_to_ENTP,history,persona_20260411T161728Z_f23b0d75,ENTP,persona_20260412T220716Z_d49db526,ENTP,ENTP,True
RQ3,ISTP,ENTP,ISTP_to_ENTP,summary,persona_20260411T161752Z_cfcdc469,ENTP,persona_20260412T220716Z_9fa4be40,ENTP,ENTP,True
RQ3,ISTP,ENFP,ISTP_to_ENFP,history,persona_20260410T205959Z_73254065,ENFP,persona_20260412T221309Z_cdc8c48b,ENFP,ENFP,True
RQ3,ISTP,ENFP,ISTP_to_ENFP,summary,persona_20260410T210022Z_cfe26952,ENFP,persona_20260412T221310Z_4cdb3ffb,ENFP,ENFP,True
