rq,pair_id,persona_a,persona_b,history_final_type,summary_final_type,history_drift,summary_drift
RQ1,ISFJ_to_ENTP,ISFJ,ENTP,ENTP,ENTP,False,False
RQ1,ISFJ_to_ISTP,ISFJ,ISTP,ISTP,ISTP,False,False
RQ1,ISFJ_to_ENFP,ISFJ,ENFP,ENFP,ENFP,False,False
RQ1,ISFJ_to_INFP,ISFJ,INFP,INFP,INFP,False,False
RQ1,ENTP_to_ENFJ,ENTP,ENFJ,ENFJ,ENFJ,False,False
RQ1,ENTP_to_ISFJ,ENTP,ISFJ,ISFJ,ISFJ,False,False
RQ1,ENTP_to_ENTJ,ENTP,ENTJ,ESTJ,ESTJ,True,True
RQ1,ENTP_to_ISTP,ENTP,ISTP,ISTP,ISTP,False,False
RQ1,ENTP_to_ESFJ,ENTP,ESFJ,ESFJ,ESFJ,False,False
RQ1,ISTJ_to_INTJ,ISTJ,INTJ,INTJ,INTJ,False,False
RQ1,ISTJ_to_ENTJ,ISTJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,ISTJ_to_ENTP,ISTJ,ENTP,ENTP,ENTP,False,False
RQ1,ISTJ_to_ISTP,ISTJ,ISTP,ISTP,ISTP,False,False
RQ1,ISTJ_to_ENFP,ISTJ,ENFP,ENFP,ENFP,False,False
RQ1,ISTJ_to_INFP,ISTJ,INFP,INFP,INFP,False,False
RQ1,ESTJ_to_ENTJ,ESTJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,INTJ_to_ISTJ,INTJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,INFJ_to_INTJ,INFJ,INTJ,INTJ,INTJ,False,False
RQ1,INFJ_to_ENFJ,INFJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,INFJ_to_ISFJ,INFJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,INFJ_to_ENTJ,INFJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,INFJ_to_ENTP,INFJ,ENTP,ENTP,ENTP,False,False
RQ1,INFJ_to_ISTP,INFJ,ISTP,ISTP,ISTP,False,False
RQ1,INFJ_to_ENFP,INFJ,ENFP,ENFP,ENFP,False,False
RQ1,INFJ_to_ISTJ,INFJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,INFJ_to_ESFJ,INFJ,ESFJ,ESFJ,ESFJ,False,False
RQ1,INFJ_to_ESTJ,INFJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,ENTJ_to_ESTJ,ENTJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,ISTP_to_INTJ,ISTP,INTJ,INTJ,INTJ,False,False
RQ1,ISTP_to_INFJ,ISTP,INFJ,INFJ,INFJ,False,False
RQ1,ISTP_to_ENFJ,ISTP,ENFJ,ENFJ,ENFJ,False,False
RQ1,ISTP_to_ISFJ,ISTP,ISFJ,ISFJ,ISFJ,False,False
RQ1,ISTP_to_ENTP,ISTP,ENTP,ENTP,ENTP,False,False
RQ1,ISTP_to_ENFP,ISTP,ENFP,ENFP,ENFP,False,False
RQ1,ISTP_to_ISTJ,ISTP,ISTJ,ISTJ,ISTJ,False,False
RQ1,ISTP_to_INFP,ISTP,INFP,INFP,INFP,False,False
RQ1,ISTP_to_ESFJ,ISTP,ESFJ,ESFJ,ESFJ,False,False
RQ1,ISTP_to_ESTJ,ISTP,ESTJ,ESTJ,ESTJ,False,False
RQ1,ENFP_to_INFJ,ENFP,INFJ,INFJ,INFJ,False,False
RQ1,ENFP_to_ENTJ,ENFP,ENTJ,ESTJ,ESTJ,True,True
RQ1,ENFP_to_ENTP,ENFP,ENTP,ENTP,ENTP,False,False
RQ1,ESTJ_to_ISTJ,ESTJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,INTJ_to_INFJ,INTJ,INFJ,INFJ,INFJ,False,False
RQ1,INTJ_to_ENFJ,INTJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,INTJ_to_ISFJ,INTJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,INTJ_to_ENTJ,INTJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,INTJ_to_ENTP,INTJ,ENTP,ENTP,ENTP,False,False
RQ1,INTJ_to_ISTP,INTJ,ISTP,ISTP,ISTP,False,False
RQ1,INTJ_to_ENFP,INTJ,ENFP,ENFP,ENFP,False,False
RQ1,INTJ_to_INFP,INTJ,INFP,INFP,INFP,False,False
RQ1,INTJ_to_ESFJ,INTJ,ESFJ,ESFJ,ESFJ,False,False
RQ1,INTJ_to_ESTJ,INTJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,INFJ_to_INFP,INFJ,INFP,INFP,INFP,False,False
RQ1,ENFJ_to_INTJ,ENFJ,INTJ,INTJ,INTJ,False,False
RQ1,ENFJ_to_INFJ,ENFJ,INFJ,INFJ,INFJ,False,False
RQ1,ENFJ_to_ISFJ,ENFJ,ISFJ,ISFJ,ISFJ,False,False
RQ1,ENFJ_to_ENTJ,ENFJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,ENFJ_to_ENTP,ENFJ,ENTP,ENTP,ENTP,False,False
RQ1,ENFJ_to_ISTP,ENFJ,ISTP,ISTP,ISTP,False,False
RQ1,ENFJ_to_ENFP,ENFJ,ENFP,ENFP,ENFP,False,False
RQ1,ENFJ_to_ISTJ,ENFJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,ENFJ_to_INFP,ENFJ,INFP,INFP,INFP,False,False
RQ1,ENFJ_to_ESFJ,ENFJ,ESFJ,ESFJ,ESFJ,False,False
RQ1,ENFJ_to_ESTJ,ENFJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,ISFJ_to_INTJ,ISFJ,INTJ,INTJ,INTJ,False,False
RQ1,ISFJ_to_INFJ,ISFJ,INFJ,INFJ,INFJ,False,False
RQ1,ISFJ_to_ENFJ,ISFJ,ENFJ,ENFJ,ENFJ,False,False
RQ1,ISFJ_to_ENTJ,ISFJ,ENTJ,ESTJ,ESTJ,True,True
RQ1,ISFJ_to_ISTJ,ISFJ,ISTJ,ISTJ,ISTJ,False,False
RQ1,ISFJ_to_ESFJ,ISFJ,ESFJ,ESFJ,ESFJ,False,False
RQ1,ISFJ_to_ESTJ,ISFJ,ESTJ,ESTJ,ESTJ,False,False
RQ1,ENTJ_to_INTJ,ENTJ,INTJ,INTJ,INTJ,False,False
